Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing
1,"4 June 2010,",18:45,F9 v1.0[7]B0003.1[8],"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,0 kg,LEO,SpaceX,Success,Failure[9][10](parachute)
2,"8 December 2010,",15:43,F9 v1.0[7]B0004.1[8],"CCAFS,SLC-40",Dragon demo flight C1(Dragon C101),0 kg,LEO (ISS),NASA (COTS) NRO,Success[9],Failure[9][14](parachute)
3,"22 May 2012,",07:44,F9 v1.0[7]B0005.1[8],"CCAFS,SLC-40",Dragon demo flight C2+[18](Dragon C102),525 kg,LEO (ISS),NASA (COTS),Success[20],No attempt
4,"8 October 2012,",00:35,F9 v1.0[7]B0006.1[8],"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),700 kg,LEO (ISS),NASA (CRS),Success,No attempt
5,"1 March 2013,",15:10,F9 v1.0[7]B0007.1[8],"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),877 kg,LEO (ISS),NASA (CRS),Success,No attempt
6,"29 September 2013,",16:00,F9 v1.1[7]B1003[8],"VAFB,SLC-4E",CASSIOPE[22][31],500 kg,Polar orbit LEO,MDA,Success[30],Uncontrolled(ocean)[d]
7,"3 December 2013,",22:41,F9 v1.1B1004,"CCAFS,SLC-40",SES-8[22][35][36],170 kg,GTO,SES,Success[37],No attempt[38]
8,"6 January 2014,",22:06,F9 v1.1,"CCAFS,SLC-40",Thaicom 6[22],325 kg,GTO,Thaicom,Success[42],No attempt[43]
9,"18 April 2014,",19:25,F9 v1.1,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),296 kg,LEO (ISS),NASA (CRS),Success,Controlled(ocean) [d][46]
10,"14 July 2014,",15:15,F9 v1.1,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],316 kg,LEO,Orbcomm,Success[51],Controlled(ocean)[d][46]
11,"5 August 2014,",08:00,F9 v1.1,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],535 kg,GTO,AsiaSat,Success[56],No attempt[57]
12,"7 September 2014,",05:00,F9 v1.1B1011[8],"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],428 kg,GTO,AsiaSat,Success[59],No attempt
13,"21 September 2014,",05:52,F9 v1.1B1010[8],"Cape Canaveral,LC-40",SpaceX CRS-4[22](Dragon C106.1),216 kg,LEO (ISS),NASA (CRS),Success[63],Uncontrolled(ocean)[d][64]
